,Simulation,Phase,VS1A2,VS1A3,VS2A4,VS2A5,VS3A5,VS3A6,VS4A7,VS5A8,VS6A9,VS7A10,VS8A10,VS9A10,VS10A11,Test Result
0,1,After Learning,1.6921875,27.051658058166502,14.02734375,0.0,0.0,28.499836921691895,14.9853515625,0.0,29.999992847442627,0.0,0.0,0.0,0,3
1,1,After Relearning,1.6921875,27.051658058166502,1.75341796875,0.0,0.0,3.562479615211487,14.99267578125,0.0,29.999996423721313,0.0,0.0,0.0,0,3
2,2,After Learning,13.520945683121681,10.153125,14.249843716621399,0.0,0.0,27.275390625,14.999996423721313,0.0,29.970703125,0.0,0.0,0.0,0,2
3,2,After Relearning,13.520945683121681,10.153125,1.7812304645776749,0.0,0.0,3.409423828125,14.999998211860657,0.0,29.9853515625,0.0,0.0,0.0,0,2
4,3,After Learning,0.0,26.95963296890259,13.985595703125,0.0,0.0,28.497173309326172,14.99267578125,0.0,29.99988555908203,0.0,0.0,0.0,0,3
5,3,After Relearning,0.0,26.95963296890259,1.748199462890625,0.0,0.0,3.5621466636657715,14.996337890625,0.0,29.999942779541016,0.0,0.0,0.0,0,3
6,4,After Learning,13.507244557142258,0.0,14.249592304229736,0.0,0.0,28.22515869140625,14.999992847442627,0.0,29.996337890625,0.0,0.0,0.0,0,2
7,4,After Relearning,13.507244557142258,0.0,1.781199038028717,0.0,0.0,3.5281448364257812,14.999996423721313,0.0,29.9981689453125,0.0,0.0,0.0,0,2
8,5,After Learning,0.0,27.05427563488483,13.790771484375,0.0,0.0,28.49990487098694,14.99267578125,0.0,29.999996423721313,0.0,0.0,0.0,0,3
9,5,After Relearning,0.0,27.05427563488483,1.723846435546875,0.0,0.0,3.5624881088733673,14.996337890625,0.0,29.999998211860657,0.0,0.0,0.0,0,3
10,6,After Learning,0.0,27.002288818359375,12.0234375,0.0,0.0,28.494672775268555,14.8828125,0.0,29.99988555908203,0.0,0.0,0.0,0,3
11,6,After Relearning,0.0,27.002288818359375,12.0234375,24.937459230422974,0.0,3.5618340969085693,14.94140625,0.0,29.999992847442627,0.0,0.0,0.0,0,3
12,7,After Learning,0.0,27.012655842304227,14.0899658203125,0.0,0.0,28.499792754650116,14.99267578125,0.0,29.999996423721313,0.0,0.0,0.0,0,3
13,7,After Relearning,0.0,27.012655842304227,1.7612457275390625,0.0,0.0,3.5624740943312645,14.996337890625,0.0,29.999998211860657,0.0,0.0,0.0,0,3
14,8,After Learning,13.530095905065536,0.0,14.249855607748032,0.0,0.0,27.7763671875,14.999998211860657,0.0,29.970703125,0.0,0.0,0.0,0,2
15,8,After Relearning,13.530095905065536,0.0,1.781231950968504,0.0,0.0,3.4720458984375,14.999999105930328,0.0,29.9853515625,0.0,0.0,0.0,0,2
16,9,After Learning,13.468842673301697,13.4052978515625,14.24842357635498,0.0,0.0,28.3538818359375,14.999985694885254,0.0,29.99267578125,0.0,0.0,0.0,0,2
17,9,After Relearning,13.468842673301697,13.4052978515625,7.12421178817749,21.373260498046875,0.0,3.5442352294921875,14.999992847442627,0.0,29.99908447265625,0.0,0.0,0.0,0,2
18,10,After Learning,6.87451171875,26.882687187194826,14.183029174804688,0.0,0.0,28.4930419921875,14.99908447265625,0.0,29.999771118164062,0.0,0.0,0.0,0,3
19,10,After Relearning,6.87451171875,26.882687187194826,1.772878646850586,0.0,0.0,3.5616302490234375,14.999542236328125,0.0,29.99988555908203,0.0,0.0,0.0,0,3
20,11,After Learning,0.0,27.030123567581175,5.34375,0.0,0.0,28.49840998649597,14.0625,0.0,29.999985694885254,0.0,0.0,0.0,0,3
21,11,After Relearning,0.0,27.030123567581175,0.66796875,0.0,0.0,3.5623012483119965,14.53125,0.0,29.999992847442627,0.0,0.0,0.0,0,3
22,12,After Learning,5.922656249999999,27.038934892416,13.248046875,0.0,0.0,28.49984711408615,14.8828125,0.0,29.999996423721313,0.0,0.0,0.0,0,3
23,12,After Relearning,5.922656249999999,27.038934892416,13.248046875,24.937498725950718,0.0,3.562480889260769,14.94140625,0.0,29.999999776482582,0.0,0.0,0.0,0,3
24,13,After Learning,13.514287161827088,0.0,14.248722553253174,0.0,0.0,27.91552734375,14.999985694885254,0.0,29.9853515625,0.0,0.0,0.0,0,2
25,13,After Relearning,13.514287161827088,0.0,1.7810903191566467,0.0,0.0,3.48944091796875,14.999992847442627,0.0,29.99267578125,0.0,0.0,0.0,0,2
26,14,After Learning,13.509613609313964,0.0,14.24831485748291,0.0,0.0,27.122314453125,14.999942779541016,0.0,29.9853515625,0.0,0.0,0.0,0,2
